duration_ms,explicit,genres,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
284320,f,['pop'],11,0.0487,0.76,0.667,0.0873,0.0,0.0872,-6.962,1.0,0.043,116.0,4.0,0.964
108493,f,['pop'],7,0.0346,0.675,0.768,0.978,7.0,0.0427,-8.933,1.0,0.036,138.0,4.0,0.829
152266,f,['pop'],7,0.191,0.27,0.259,0.868,6.0,0.117,-14.208,1.0,0.0329,99.0,4.0,0.0471
107840,f,['pop'],7,0.00398,0.5,0.369,0.943,0.0,0.0789,-9.998,1.0,0.0478,219.0,4.0,0.532
167993,f,['eletronic'],27,0.0228,0.286,0.902,0.655,5.0,0.346,-3.514,0.0,0.0378,150.0,4.0,0.164
323200,f,['eletronic'],34,0.0403,0.543,0.938,0.0059,7.0,0.162,-6.244,1.0,0.288,150.0,4.0,0.0963
224000,f,['eletronic'],30,0.0196,0.247,0.779,0.000534,2.0,0.486,-5.49,0.0,0.0406,150.0,4.0,0.163
168000,f,['eletronic'],28,0.0348,0.607,0.953,9.93e-06,8.0,0.058,-2.604,0.0,0.233,150.0,4.0,0.248
265200,f,['eletronic'],23,0.0377,0.372,0.939,0.000653,6.0,0.0405,-4.58,0.0,0.207,150.0,4.0,0.182
171200,f,['eletronic'],30,0.0501,0.624,0.955,0.104,2.0,0.149,-3.993,1.0,0.337,75.0,4.0,0.296
195100,f,['eletronic'],22,0.00137,0.502,0.975,2.31e-06,11.0,0.0729,-3.271,0.0,0.437,150.0,4.0,0.281
263949,f,['eletronic'],29,0.0124,0.562,0.915,0.0464,8.0,0.0997,-3.743,0.0,0.177,150.0,4.0,0.242
216200,f,['eletronic'],25,0.0309,0.623,0.903,1.41e-06,9.0,0.0679,-2.584,1.0,0.275,150.0,4.0,0.242
188400,f,['eletronic'],35,0.0454,0.415,0.955,0.000915,2.0,0.134,-4.223,1.0,0.0624,150.0,4.0,0.322
254800,f,['eletronic'],32,0.0265,0.64,0.871,0.00109,0.0,0.0974,-3.483,0.0,0.0603,150.0,4.0,0.137
206680,f,['eletronic'],26,0.153,0.513,0.781,0.106,3.0,0.0537,-4.689,1.0,0.0408,150.0,4.0,0.134
261300,f,['eletronic' 'r&b'],22,0.134,0.508,0.433,0.00184,0.0,0.0934,-9.788,1.0,0.0434,120.0,1.0,0.131
228500,f,['eletronic' 'r&b'],48,0.46,0.816,0.471,0.0322,0.0,0.336,-14.005,1.0,0.0361,120.0,4.0,0.909
222324,f,['eletronic' 'r&b'],45,0.455,0.704,0.642,0.00708,5.0,0.546,-11.93,0.0,0.139,98.0,4.0,0.607
257574,f,['eletronic' 'r&b'],14,0.718,0.523,0.202,2.07e-05,5.0,0.335,-18.077,1.0,0.0391,135.0,4.0,0.259
